timestamp,set,home_team,away_team,home_score,away_score,scorer,serving,home_run,away_run,lead,phase,event
2026-05-06T20:56:18.430Z,1,LOCAL,VISITANTE,0,0,,HOME,0,0,0,EARLY,POINT
2026-05-06T20:56:57.946Z,1,LOCAL,VISITANTE,0,1,AWAY,AWAY,0,1,-1,EARLY,SIDEOUT_AWAY
2026-05-06T20:57:28.048Z,1,LOCAL,VISITANTE,0,2,AWAY,AWAY,0,2,-2,EARLY,SIDEOUT_AWAY
2026-05-06T20:57:55.139Z,1,LOCAL,VISITANTE,0,3,AWAY,AWAY,0,3,-3,EARLY,SIDEOUT_AWAY
2026-05-06T20:58:13.203Z,1,LOCAL,VISITANTE,1,3,HOME,HOME,1,0,-2,EARLY,SIDEOUT_HOME
2026-05-06T20:58:46.425Z,1,LOCAL,VISITANTE,2,3,HOME,HOME,2,0,-1,EARLY,SIDEOUT_HOME
2026-05-06T20:59:10.492Z,1,LOCAL,VISITANTE,2,4,AWAY,AWAY,0,1,-2,EARLY,SIDEOUT_AWAY
2026-05-06T20:59:37.531Z,1,LOCAL,VISITANTE,2,5,AWAY,AWAY,0,2,-3,EARLY,SIDEOUT_AWAY
2026-05-06T20:59:58.613Z,1,LOCAL,VISITANTE,3,5,HOME,HOME,1,0,-2,EARLY,SIDEOUT_HOME
2026-05-06T21:00:19.724Z,1,LOCAL,VISITANTE,3,6,AWAY,AWAY,0,1,-3,EARLY,SIDEOUT_AWAY
2026-05-06T21:00:46.875Z,1,LOCAL,VISITANTE,3,7,AWAY,AWAY,0,2,-4,MID,SIDEOUT_AWAY
2026-05-06T21:01:46.988Z,1,LOCAL,VISITANTE,3,8,AWAY,AWAY,0,3,-5,MID,SIDEOUT_AWAY
2026-05-06T21:02:35.239Z,1,LOCAL,VISITANTE,4,8,HOME,HOME,1,0,-4,MID,SIDEOUT_HOME
2026-05-06T21:03:02.327Z,1,LOCAL,VISITANTE,4,9,AWAY,AWAY,0,1,-5,MID,SIDEOUT_AWAY
2026-05-06T21:03:29.398Z,1,LOCAL,VISITANTE,5,9,HOME,HOME,1,0,-4,MID,SIDEOUT_HOME
2026-05-06T21:03:50.489Z,1,LOCAL,VISITANTE,5,10,AWAY,AWAY,0,1,-5,MID,SIDEOUT_AWAY
2026-05-06T21:04:26.597Z,1,LOCAL,VISITANTE,6,10,HOME,HOME,1,0,-4,MID,SIDEOUT_HOME
2026-05-06T21:04:56.646Z,1,LOCAL,VISITANTE,6,11,AWAY,AWAY,0,1,-5,MID,SIDEOUT_AWAY
2026-05-06T21:05:20.743Z,1,LOCAL,VISITANTE,7,11,HOME,HOME,1,0,-4,MID,SIDEOUT_HOME
2026-05-06T21:05:44.835Z,1,LOCAL,VISITANTE,7,12,AWAY,AWAY,0,1,-5,MID,SIDEOUT_AWAY
2026-05-06T21:07:09.060Z,1,LOCAL,VISITANTE,8,12,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:07:36.167Z,1,LOCAL,VISITANTE,8,13,AWAY,AWAY,0,1,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:07:48.175Z,1,LOCAL,VISITANTE,8,12,,HOME,0,1,-4,LATE,POINT
2026-05-06T21:07:51.187Z,1,LOCAL,VISITANTE,9,12,HOME,HOME,1,0,-3,LATE,SIDEOUT_HOME
2026-05-06T21:08:09.221Z,1,LOCAL,VISITANTE,9,13,AWAY,AWAY,0,1,-4,LATE,SIDEOUT_AWAY
2026-05-06T21:08:39.306Z,1,LOCAL,VISITANTE,9,14,AWAY,AWAY,0,2,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:09:09.433Z,1,LOCAL,VISITANTE,10,14,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:09:57.550Z,1,LOCAL,VISITANTE,10,15,AWAY,AWAY,0,1,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:10:33.670Z,1,LOCAL,VISITANTE,11,15,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:11:18.785Z,1,LOCAL,VISITANTE,11,16,AWAY,AWAY,0,1,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:11:45.875Z,1,LOCAL,VISITANTE,12,16,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:12:15.966Z,1,LOCAL,VISITANTE,12,17,AWAY,AWAY,0,1,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:12:49.096Z,1,LOCAL,VISITANTE,13,17,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:13:25.159Z,1,LOCAL,VISITANTE,14,17,HOME,HOME,2,0,-3,LATE,SIDEOUT_HOME
2026-05-06T21:14:52.463Z,1,LOCAL,VISITANTE,14,18,AWAY,AWAY,0,1,-4,LATE,SIDEOUT_AWAY
2026-05-06T21:15:19.506Z,1,LOCAL,VISITANTE,15,18,HOME,HOME,1,0,-3,LATE,SIDEOUT_HOME
2026-05-06T21:15:52.634Z,1,LOCAL,VISITANTE,15,19,AWAY,AWAY,0,1,-4,LATE,SIDEOUT_AWAY
2026-05-06T21:16:28.705Z,1,LOCAL,VISITANTE,15,20,AWAY,AWAY,0,2,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:16:58.861Z,1,LOCAL,VISITANTE,16,20,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:17:19.858Z,1,LOCAL,VISITANTE,17,20,HOME,HOME,2,0,-3,LATE,SIDEOUT_HOME
2026-05-06T21:18:53.949Z,1,LOCAL,VISITANTE,17,21,AWAY,AWAY,0,1,-4,LATE,SIDEOUT_AWAY
2026-05-06T21:19:05.167Z,1,LOCAL,VISITANTE,18,21,HOME,HOME,1,0,-3,LATE,SIDEOUT_HOME
2026-05-06T21:19:26.211Z,1,LOCAL,VISITANTE,18,22,AWAY,AWAY,0,1,-4,LATE,SIDEOUT_AWAY
2026-05-06T21:19:50.305Z,1,LOCAL,VISITANTE,18,23,AWAY,AWAY,0,2,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:21:41.612Z,1,LOCAL,VISITANTE,19,23,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:22:05.675Z,1,LOCAL,VISITANTE,19,24,AWAY,AWAY,0,1,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:23:20.927Z,1,LOCAL,VISITANTE,20,24,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:23:57.029Z,1,LOCAL,VISITANTE,20,25,AWAY,AWAY,0,1,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:28:24.985Z,2,LOCAL,VISITANTE,0,0,,AWAY,0,1,0,EARLY,POINT
2026-05-06T21:28:46.060Z,2,LOCAL,VISITANTE,0,1,AWAY,AWAY,0,2,-1,EARLY,SIDEOUT_AWAY
2026-05-06T21:29:10.437Z,2,LOCAL,VISITANTE,0,2,AWAY,AWAY,0,3,-2,EARLY,SIDEOUT_AWAY
2026-05-06T21:29:34.176Z,2,LOCAL,VISITANTE,0,3,AWAY,AWAY,0,4,-3,EARLY,SIDEOUT_AWAY
2026-05-06T21:30:01.239Z,2,LOCAL,VISITANTE,0,4,AWAY,AWAY,0,5,-4,EARLY,SIDEOUT_AWAY
2026-05-06T21:30:50.099Z,2,LOCAL,VISITANTE,1,4,HOME,HOME,1,0,-3,EARLY,SIDEOUT_HOME
2026-05-06T21:31:16.491Z,2,LOCAL,VISITANTE,2,4,HOME,HOME,2,0,-2,EARLY,SIDEOUT_HOME
2026-05-06T21:31:46.565Z,2,LOCAL,VISITANTE,2,5,AWAY,AWAY,0,1,-3,EARLY,SIDEOUT_AWAY
2026-05-06T21:32:13.676Z,2,LOCAL,VISITANTE,3,5,HOME,HOME,1,0,-2,EARLY,SIDEOUT_HOME
2026-05-06T21:32:49.777Z,2,LOCAL,VISITANTE,4,5,HOME,HOME,2,0,-1,EARLY,SIDEOUT_HOME
2026-05-06T21:33:19.867Z,2,LOCAL,VISITANTE,5,5,HOME,HOME,3,0,0,MID,SIDEOUT_HOME
2026-05-06T21:33:37.908Z,2,LOCAL,VISITANTE,5,6,AWAY,AWAY,0,1,-1,MID,SIDEOUT_AWAY
2026-05-06T21:34:02.149Z,2,LOCAL,VISITANTE,5,7,AWAY,AWAY,0,2,-2,MID,SIDEOUT_AWAY
2026-05-06T21:34:26.236Z,2,LOCAL,VISITANTE,5,8,AWAY,AWAY,0,3,-3,MID,SIDEOUT_AWAY
2026-05-06T21:34:47.297Z,2,LOCAL,VISITANTE,6,8,HOME,HOME,1,0,-2,MID,SIDEOUT_HOME
2026-05-06T21:35:17.379Z,2,LOCAL,VISITANTE,6,9,AWAY,AWAY,0,1,-3,MID,SIDEOUT_AWAY
2026-05-06T21:36:08.529Z,2,LOCAL,VISITANTE,6,10,AWAY,AWAY,0,2,-4,MID,SIDEOUT_AWAY
2026-05-06T21:36:35.607Z,2,LOCAL,VISITANTE,7,10,HOME,HOME,1,0,-3,MID,SIDEOUT_HOME
2026-05-06T21:37:11.701Z,2,LOCAL,VISITANTE,8,10,HOME,HOME,2,0,-2,MID,SIDEOUT_HOME
2026-05-06T21:37:56.888Z,2,LOCAL,VISITANTE,8,11,AWAY,AWAY,0,1,-3,MID,SIDEOUT_AWAY
2026-05-06T21:38:17.952Z,2,LOCAL,VISITANTE,9,11,HOME,HOME,1,0,-2,LATE,SIDEOUT_HOME
2026-05-06T21:38:48.018Z,2,LOCAL,VISITANTE,10,11,HOME,HOME,2,0,-1,LATE,SIDEOUT_HOME
2026-05-06T21:40:33.397Z,2,LOCAL,VISITANTE,11,11,HOME,HOME,3,0,0,LATE,SIDEOUT_HOME
2026-05-06T21:41:09.372Z,2,LOCAL,VISITANTE,11,12,AWAY,AWAY,0,1,-1,LATE,SIDEOUT_AWAY
2026-05-06T21:41:30.411Z,2,LOCAL,VISITANTE,12,12,HOME,HOME,1,0,0,LATE,SIDEOUT_HOME
2026-05-06T21:42:03.471Z,2,LOCAL,VISITANTE,12,13,AWAY,AWAY,0,1,-1,LATE,SIDEOUT_AWAY
2026-05-06T21:42:36.540Z,2,LOCAL,VISITANTE,12,14,AWAY,AWAY,0,2,-2,LATE,SIDEOUT_AWAY
2026-05-06T21:43:00.649Z,2,LOCAL,VISITANTE,12,15,AWAY,AWAY,0,3,-3,LATE,SIDEOUT_AWAY
2026-05-06T21:43:24.703Z,2,LOCAL,VISITANTE,12,16,AWAY,AWAY,0,4,-4,LATE,SIDEOUT_AWAY
2026-05-06T21:45:12.992Z,2,LOCAL,VISITANTE,12,17,AWAY,AWAY,0,5,-5,LATE,SIDEOUT_AWAY
2026-05-06T21:45:52.108Z,2,LOCAL,VISITANTE,13,17,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-05-06T21:46:22.191Z,2,LOCAL,VISITANTE,14,17,HOME,HOME,2,0,-3,LATE,SIDEOUT_HOME
2026-05-06T21:46:55.335Z,2,LOCAL,VISITANTE,15,17,HOME,HOME,3,0,-2,LATE,SIDEOUT_HOME
2026-05-06T21:47:19.473Z,2,LOCAL,VISITANTE,16,17,HOME,HOME,4,0,-1,LATE,SIDEOUT_HOME
2026-05-06T21:48:58.667Z,2,LOCAL,VISITANTE,16,18,AWAY,AWAY,0,1,-2,LATE,SIDEOUT_AWAY
2026-05-06T21:49:25.770Z,2,LOCAL,VISITANTE,16,19,AWAY,AWAY,0,2,-3,LATE,SIDEOUT_AWAY
2026-05-06T21:49:43.815Z,2,LOCAL,VISITANTE,17,19,HOME,HOME,1,0,-2,LATE,SIDEOUT_HOME
2026-05-06T21:50:10.890Z,2,LOCAL,VISITANTE,17,20,AWAY,AWAY,0,1,-3,LATE,SIDEOUT_AWAY
2026-05-06T21:50:41.003Z,2,LOCAL,VISITANTE,18,20,HOME,HOME,1,0,-2,LATE,SIDEOUT_HOME
2026-05-06T21:51:20.110Z,2,LOCAL,VISITANTE,19,20,HOME,HOME,2,0,-1,LATE,SIDEOUT_HOME
2026-05-06T21:51:53.296Z,2,LOCAL,VISITANTE,20,20,HOME,HOME,3,0,0,LATE,SIDEOUT_HOME
2026-05-06T21:52:11.367Z,2,LOCAL,VISITANTE,20,21,AWAY,AWAY,0,1,-1,LATE,SIDEOUT_AWAY
2026-05-06T21:52:38.438Z,2,LOCAL,VISITANTE,20,22,AWAY,AWAY,0,2,-2,LATE,SIDEOUT_AWAY
2026-05-06T21:53:14.786Z,2,LOCAL,VISITANTE,20,23,AWAY,AWAY,0,3,-3,LATE,SIDEOUT_AWAY
2026-05-06T21:54:30.026Z,2,LOCAL,VISITANTE,20,24,AWAY,AWAY,0,4,-4,LATE,SIDEOUT_AWAY
2026-05-06T21:55:00.126Z,2,LOCAL,VISITANTE,21,24,HOME,HOME,1,0,-3,LATE,SIDEOUT_HOME
2026-05-06T21:55:30.263Z,2,LOCAL,VISITANTE,22,24,HOME,HOME,2,0,-2,LATE,SIDEOUT_HOME
2026-05-06T21:56:03.437Z,2,LOCAL,VISITANTE,22,25,AWAY,AWAY,0,1,-3,LATE,SIDEOUT_AWAY
