timestamp,set,home_team,away_team,home_score,away_score,scorer,serving,home_run,away_run,lead,phase,event
2026-06-27T17:16:36.439Z,1,LOCAL,VISITANTE,0,0,,HOME,1,0,0,EARLY,POINT
2026-06-27T17:18:26.484Z,1,LOCAL,VISITANTE,1,0,HOME,HOME,2,0,1,EARLY,SIDEOUT_HOME
2026-06-27T17:18:53.665Z,1,LOCAL,VISITANTE,2,0,HOME,HOME,3,0,2,EARLY,SIDEOUT_HOME
2026-06-27T17:19:47.844Z,1,LOCAL,VISITANTE,2,1,AWAY,AWAY,0,1,1,EARLY,SIDEOUT_AWAY
2026-06-27T17:19:56.766Z,1,LOCAL,VISITANTE,3,1,HOME,HOME,1,0,2,EARLY,SIDEOUT_HOME
2026-06-27T17:20:23.841Z,1,LOCAL,VISITANTE,3,2,AWAY,AWAY,0,1,1,EARLY,SIDEOUT_AWAY
2026-06-27T17:20:56.949Z,1,LOCAL,VISITANTE,3,3,AWAY,AWAY,0,2,0,EARLY,SIDEOUT_AWAY
2026-06-27T17:21:21.010Z,1,LOCAL,VISITANTE,4,3,HOME,HOME,1,0,1,EARLY,SIDEOUT_HOME
2026-06-27T17:21:45.056Z,1,LOCAL,VISITANTE,5,3,HOME,HOME,2,0,2,EARLY,SIDEOUT_HOME
2026-06-27T17:22:03.071Z,1,LOCAL,VISITANTE,6,3,HOME,HOME,3,0,3,EARLY,SIDEOUT_HOME
2026-06-27T17:22:27.133Z,1,LOCAL,VISITANTE,6,4,AWAY,AWAY,0,1,2,MID,SIDEOUT_AWAY
2026-06-27T17:22:48.182Z,1,LOCAL,VISITANTE,6,5,AWAY,AWAY,0,2,1,MID,SIDEOUT_AWAY
2026-06-27T17:23:15.284Z,1,LOCAL,VISITANTE,6,6,AWAY,AWAY,0,3,0,MID,SIDEOUT_AWAY
2026-06-27T17:23:54.388Z,1,LOCAL,VISITANTE,6,7,AWAY,AWAY,0,4,-1,MID,SIDEOUT_AWAY
2026-06-27T17:24:18.415Z,1,LOCAL,VISITANTE,6,8,AWAY,AWAY,0,5,-2,MID,SIDEOUT_AWAY
2026-06-27T17:24:51.554Z,1,LOCAL,VISITANTE,7,8,HOME,HOME,1,0,-1,MID,SIDEOUT_HOME
2026-06-27T17:25:18.569Z,1,LOCAL,VISITANTE,7,9,AWAY,AWAY,0,1,-2,MID,SIDEOUT_AWAY
2026-06-27T17:25:36.617Z,1,LOCAL,VISITANTE,7,10,AWAY,AWAY,0,2,-3,MID,SIDEOUT_AWAY
2026-06-27T17:26:00.656Z,1,LOCAL,VISITANTE,8,10,HOME,HOME,1,0,-2,MID,SIDEOUT_HOME
2026-06-27T17:26:33.714Z,1,LOCAL,VISITANTE,8,11,AWAY,AWAY,0,1,-3,MID,SIDEOUT_AWAY
2026-06-27T17:27:12.881Z,1,LOCAL,VISITANTE,9,11,HOME,HOME,1,0,-2,LATE,SIDEOUT_HOME
2026-06-27T17:27:33.903Z,1,LOCAL,VISITANTE,9,12,AWAY,AWAY,0,1,-3,LATE,SIDEOUT_AWAY
2026-06-27T17:28:06.973Z,1,LOCAL,VISITANTE,9,13,AWAY,AWAY,0,2,-4,LATE,SIDEOUT_AWAY
2026-06-27T17:28:40.053Z,1,LOCAL,VISITANTE,9,14,AWAY,AWAY,0,3,-5,LATE,SIDEOUT_AWAY
2026-06-27T17:29:58.279Z,1,LOCAL,VISITANTE,10,14,HOME,HOME,1,0,-4,LATE,SIDEOUT_HOME
2026-06-27T17:31:17.732Z,1,LOCAL,VISITANTE,10,15,AWAY,AWAY,0,1,-5,LATE,SIDEOUT_AWAY
2026-06-27T17:31:40.466Z,1,LOCAL,VISITANTE,10,16,AWAY,AWAY,0,2,-6,LATE,SIDEOUT_AWAY
2026-06-27T17:32:01.498Z,1,LOCAL,VISITANTE,11,16,HOME,HOME,1,0,-5,LATE,SIDEOUT_HOME
2026-06-27T17:32:25.525Z,1,LOCAL,VISITANTE,11,17,AWAY,AWAY,0,1,-6,LATE,SIDEOUT_AWAY
2026-06-27T17:33:01.619Z,1,LOCAL,VISITANTE,12,17,HOME,HOME,1,0,-5,LATE,SIDEOUT_HOME
2026-06-27T17:33:22.672Z,1,LOCAL,VISITANTE,12,18,AWAY,AWAY,0,1,-6,LATE,SIDEOUT_AWAY
2026-06-27T17:33:49.780Z,1,LOCAL,VISITANTE,13,18,HOME,HOME,1,0,-5,LATE,SIDEOUT_HOME
2026-06-27T17:34:13.808Z,1,LOCAL,VISITANTE,13,19,AWAY,AWAY,0,1,-6,LATE,SIDEOUT_AWAY
2026-06-27T17:34:37.859Z,1,LOCAL,VISITANTE,14,19,HOME,HOME,1,0,-5,LATE,SIDEOUT_HOME
2026-06-27T17:35:13.901Z,1,LOCAL,VISITANTE,14,20,AWAY,AWAY,0,1,-6,LATE,SIDEOUT_AWAY
2026-06-27T17:35:40.989Z,1,LOCAL,VISITANTE,15,20,HOME,HOME,1,0,-5,LATE,SIDEOUT_HOME
