timestamp,set,home_team,away_team,home_score,away_score,scorer,serving,home_run,away_run,lead,phase,event
2026-07-20T21:54:01.512Z,1,LOCAL,VISITANTE,0,0,,AWAY,0,0,0,EARLY,POINT
2026-07-20T22:00:00.473Z,1,LOCAL,VISITANTE,0,1,AWAY,AWAY,0,1,-1,EARLY,SIDEOUT_AWAY
2026-07-20T22:00:30.530Z,1,LOCAL,VISITANTE,1,1,HOME,HOME,1,0,0,EARLY,SIDEOUT_HOME
2026-07-20T22:00:57.679Z,1,LOCAL,VISITANTE,1,2,AWAY,AWAY,0,1,-1,EARLY,SIDEOUT_AWAY
2026-07-20T22:01:18.714Z,1,LOCAL,VISITANTE,2,2,HOME,HOME,1,0,0,EARLY,SIDEOUT_HOME
2026-07-20T22:01:51.807Z,1,LOCAL,VISITANTE,3,2,HOME,HOME,2,0,1,EARLY,SIDEOUT_HOME
2026-07-20T22:02:18.773Z,1,LOCAL,VISITANTE,4,2,HOME,HOME,3,0,2,EARLY,SIDEOUT_HOME
2026-07-20T22:02:36.833Z,1,LOCAL,VISITANTE,4,3,AWAY,AWAY,0,1,1,EARLY,SIDEOUT_AWAY
2026-07-20T22:02:54.912Z,1,LOCAL,VISITANTE,4,4,AWAY,AWAY,0,2,0,EARLY,SIDEOUT_AWAY
2026-07-20T22:03:18.943Z,1,LOCAL,VISITANTE,5,4,HOME,HOME,1,0,1,EARLY,SIDEOUT_HOME
2026-07-20T22:03:49.052Z,1,LOCAL,VISITANTE,6,4,HOME,HOME,2,0,2,MID,SIDEOUT_HOME
2026-07-20T22:04:16.132Z,1,LOCAL,VISITANTE,6,5,AWAY,AWAY,0,1,1,MID,SIDEOUT_AWAY
2026-07-20T22:04:46.199Z,1,LOCAL,VISITANTE,6,6,AWAY,AWAY,0,2,0,MID,SIDEOUT_AWAY
2026-07-20T22:05:10.271Z,1,LOCAL,VISITANTE,7,6,HOME,HOME,1,0,1,MID,SIDEOUT_HOME
2026-07-20T22:05:34.305Z,1,LOCAL,VISITANTE,7,7,AWAY,AWAY,0,1,0,MID,SIDEOUT_AWAY
2026-07-20T22:06:04.401Z,1,LOCAL,VISITANTE,7,8,AWAY,AWAY,0,2,-1,MID,SIDEOUT_AWAY
2026-07-20T22:06:19.452Z,1,LOCAL,VISITANTE,7,9,AWAY,AWAY,0,3,-2,MID,SIDEOUT_AWAY
2026-07-20T22:06:40.506Z,1,LOCAL,VISITANTE,7,10,AWAY,AWAY,0,4,-3,MID,SIDEOUT_AWAY
2026-07-20T22:08:22.843Z,1,LOCAL,VISITANTE,8,10,HOME,HOME,1,0,-2,MID,SIDEOUT_HOME
2026-07-20T22:08:52.921Z,1,LOCAL,VISITANTE,9,10,HOME,HOME,2,0,-1,MID,SIDEOUT_HOME
2026-07-20T22:09:05.031Z,1,LOCAL,VISITANTE,10,10,HOME,HOME,3,0,0,LATE,SIDEOUT_HOME
2026-07-20T22:09:29.135Z,1,LOCAL,VISITANTE,11,10,HOME,HOME,4,0,1,LATE,SIDEOUT_HOME
2026-07-20T22:10:56.354Z,1,LOCAL,VISITANTE,11,11,AWAY,AWAY,0,1,0,LATE,SIDEOUT_AWAY
2026-07-20T22:11:17.418Z,1,LOCAL,VISITANTE,11,12,AWAY,AWAY,0,2,-1,LATE,SIDEOUT_AWAY
2026-07-20T22:12:08.550Z,1,LOCAL,VISITANTE,11,13,AWAY,AWAY,0,3,-2,LATE,SIDEOUT_AWAY
2026-07-20T22:12:29.654Z,1,LOCAL,VISITANTE,11,14,AWAY,AWAY,0,4,-3,LATE,SIDEOUT_AWAY
2026-07-20T22:13:53.905Z,1,LOCAL,VISITANTE,12,14,HOME,HOME,1,0,-2,LATE,SIDEOUT_HOME
2026-07-20T22:14:23.999Z,1,LOCAL,VISITANTE,13,14,HOME,HOME,2,0,-1,LATE,SIDEOUT_HOME
2026-07-20T22:14:48.075Z,1,LOCAL,VISITANTE,14,14,HOME,HOME,3,0,0,LATE,SIDEOUT_HOME
2026-07-20T22:15:06.137Z,1,LOCAL,VISITANTE,15,14,HOME,HOME,4,0,1,LATE,SIDEOUT_HOME
2026-07-20T22:15:30.214Z,1,LOCAL,VISITANTE,15,15,AWAY,AWAY,0,1,0,LATE,SIDEOUT_AWAY
2026-07-20T22:15:57.389Z,1,LOCAL,VISITANTE,15,16,AWAY,AWAY,0,2,-1,LATE,SIDEOUT_AWAY
2026-07-20T22:16:21.461Z,1,LOCAL,VISITANTE,16,16,HOME,HOME,1,0,0,LATE,SIDEOUT_HOME
2026-07-20T22:16:42.520Z,1,LOCAL,VISITANTE,17,16,HOME,HOME,2,0,1,LATE,SIDEOUT_HOME
2026-07-20T22:17:09.586Z,1,LOCAL,VISITANTE,18,16,HOME,HOME,3,0,2,LATE,SIDEOUT_HOME
2026-07-20T22:18:48.831Z,1,LOCAL,VISITANTE,19,16,HOME,HOME,4,0,3,LATE,SIDEOUT_HOME
2026-07-20T22:19:15.919Z,1,LOCAL,VISITANTE,20,16,HOME,HOME,5,0,4,LATE,SIDEOUT_HOME
2026-07-20T22:19:40.005Z,1,LOCAL,VISITANTE,21,16,HOME,HOME,6,0,5,LATE,SIDEOUT_HOME
2026-07-20T22:20:37.173Z,1,LOCAL,VISITANTE,21,17,AWAY,AWAY,0,1,4,LATE,SIDEOUT_AWAY
2026-07-20T22:21:07.267Z,1,LOCAL,VISITANTE,21,18,AWAY,AWAY,0,2,3,LATE,SIDEOUT_AWAY
2026-07-20T22:21:34.401Z,1,LOCAL,VISITANTE,21,19,AWAY,AWAY,0,3,2,LATE,SIDEOUT_AWAY
2026-07-20T22:22:01.507Z,1,LOCAL,VISITANTE,21,20,AWAY,AWAY,0,4,1,LATE,SIDEOUT_AWAY
2026-07-20T22:22:28.576Z,1,LOCAL,VISITANTE,21,21,AWAY,AWAY,0,5,0,LATE,SIDEOUT_AWAY
2026-07-20T22:22:58.668Z,1,LOCAL,VISITANTE,22,21,HOME,HOME,1,0,1,LATE,SIDEOUT_HOME
2026-07-20T22:23:25.714Z,1,LOCAL,VISITANTE,23,21,HOME,HOME,2,0,2,LATE,SIDEOUT_HOME
2026-07-20T22:23:49.791Z,1,LOCAL,VISITANTE,23,22,AWAY,AWAY,0,1,1,LATE,SIDEOUT_AWAY
2026-07-20T22:24:32.071Z,1,LOCAL,VISITANTE,24,22,HOME,HOME,1,0,2,LATE,SIDEOUT_HOME
2026-07-20T22:24:56.156Z,1,LOCAL,VISITANTE,24,23,AWAY,AWAY,0,1,1,LATE,SIDEOUT_AWAY
2026-07-20T22:25:32.230Z,1,LOCAL,VISITANTE,24,24,AWAY,AWAY,0,2,0,LATE,SIDEOUT_AWAY
2026-07-20T22:25:56.299Z,1,LOCAL,VISITANTE,24,25,AWAY,AWAY,0,3,-1,LATE,SIDEOUT_AWAY
2026-07-20T22:26:41.496Z,1,LOCAL,VISITANTE,24,26,AWAY,AWAY,0,4,-2,LATE,SIDEOUT_AWAY
2026-07-20T22:30:03.422Z,2,LOCAL,VISITANTE,0,0,,HOME,0,4,0,EARLY,POINT
