timestamp,set,home_team,away_team,home_score,away_score,scorer,serving,home_run,away_run,lead,phase,event
2026-05-01T20:24:14.006Z,1,LOCAL,VISITANTE,0,0,,HOME,0,0,0,EARLY,POINT
2026-05-01T20:27:12.219Z,1,LOCAL,VISITANTE,1,0,HOME,HOME,1,0,1,EARLY,SIDEOUT_HOME
2026-05-01T20:27:42.444Z,1,LOCAL,VISITANTE,2,0,HOME,HOME,2,0,2,EARLY,SIDEOUT_HOME
2026-05-01T20:28:06.526Z,1,LOCAL,VISITANTE,2,1,AWAY,AWAY,0,1,1,EARLY,SIDEOUT_AWAY
2026-05-01T20:28:33.654Z,1,LOCAL,VISITANTE,3,1,HOME,HOME,1,0,2,EARLY,SIDEOUT_HOME
2026-05-01T20:28:57.764Z,1,LOCAL,VISITANTE,3,2,AWAY,AWAY,0,1,1,EARLY,SIDEOUT_AWAY
2026-05-01T20:29:24.965Z,1,LOCAL,VISITANTE,3,3,AWAY,AWAY,0,2,0,EARLY,SIDEOUT_AWAY
2026-05-01T20:30:01.003Z,1,LOCAL,VISITANTE,3,4,AWAY,AWAY,0,3,-1,EARLY,SIDEOUT_AWAY
2026-05-01T20:30:49.214Z,1,LOCAL,VISITANTE,4,4,HOME,HOME,1,0,0,EARLY,SIDEOUT_HOME
2026-05-01T20:31:01.311Z,1,LOCAL,VISITANTE,5,4,HOME,HOME,2,0,1,EARLY,SIDEOUT_HOME
2026-05-01T20:31:37.390Z,1,LOCAL,VISITANTE,6,4,HOME,HOME,3,0,2,MID,SIDEOUT_HOME
2026-05-01T20:32:02.045Z,1,LOCAL,VISITANTE,6,5,AWAY,AWAY,0,1,1,MID,SIDEOUT_AWAY
2026-05-01T20:32:35.248Z,1,LOCAL,VISITANTE,7,5,HOME,HOME,1,0,2,MID,SIDEOUT_HOME
2026-05-01T20:32:56.786Z,1,LOCAL,VISITANTE,7,6,AWAY,AWAY,0,1,1,MID,SIDEOUT_AWAY
2026-05-01T20:33:24.038Z,1,LOCAL,VISITANTE,8,6,HOME,HOME,1,0,2,MID,SIDEOUT_HOME
2026-05-01T20:33:51.231Z,1,LOCAL,VISITANTE,8,7,AWAY,AWAY,0,1,1,MID,SIDEOUT_AWAY
2026-05-01T20:34:30.561Z,1,LOCAL,VISITANTE,8,8,AWAY,AWAY,0,2,0,MID,SIDEOUT_AWAY
2026-05-01T20:35:00.625Z,1,LOCAL,VISITANTE,8,9,AWAY,AWAY,0,3,-1,MID,SIDEOUT_AWAY
2026-05-01T20:35:21.711Z,1,LOCAL,VISITANTE,8,10,AWAY,AWAY,0,4,-2,MID,SIDEOUT_AWAY
2026-05-01T20:35:45.761Z,1,LOCAL,VISITANTE,9,10,HOME,HOME,1,0,-1,MID,SIDEOUT_HOME
