timestamp,set,home_team,away_team,home_score,away_score,scorer,serving,home_run,away_run,lead,phase,event
2026-05-01T15:27:03.978Z,1,LOCAL,VISITANTE,0,0,,HOME,0,0,0,EARLY,POINT
2026-05-01T15:36:18.998Z,1,LOCAL,VISITANTE,0,1,AWAY,AWAY,0,1,-1,EARLY,SIDEOUT_AWAY
2026-05-01T15:36:21.999Z,1,LOCAL,VISITANTE,1,1,HOME,HOME,1,0,0,EARLY,SIDEOUT_HOME
2026-05-01T15:36:28.012Z,1,LOCAL,VISITANTE,1,2,AWAY,AWAY,0,1,-1,EARLY,SIDEOUT_AWAY
2026-05-01T15:37:13.122Z,1,LOCAL,VISITANTE,2,2,HOME,HOME,1,0,0,EARLY,SIDEOUT_HOME
2026-05-01T15:37:37.180Z,1,LOCAL,VISITANTE,2,3,AWAY,AWAY,0,1,-1,EARLY,SIDEOUT_AWAY
2026-05-01T15:38:01.466Z,1,LOCAL,VISITANTE,3,3,HOME,HOME,1,0,0,EARLY,SIDEOUT_HOME
2026-05-01T15:38:40.351Z,1,LOCAL,VISITANTE,3,4,AWAY,AWAY,0,1,-1,EARLY,SIDEOUT_AWAY
2026-05-01T15:38:55.358Z,1,LOCAL,VISITANTE,3,5,AWAY,AWAY,0,2,-2,EARLY,SIDEOUT_AWAY
2026-05-01T15:39:16.416Z,1,LOCAL,VISITANTE,4,5,HOME,HOME,1,0,-1,EARLY,SIDEOUT_HOME
2026-05-01T15:39:46.489Z,1,LOCAL,VISITANTE,4,6,AWAY,AWAY,0,1,-2,MID,SIDEOUT_AWAY
2026-05-01T15:40:07.584Z,1,LOCAL,VISITANTE,5,6,HOME,HOME,1,0,-1,MID,SIDEOUT_HOME
2026-05-01T15:40:28.644Z,1,LOCAL,VISITANTE,6,6,HOME,HOME,2,0,0,MID,SIDEOUT_HOME
2026-05-01T15:41:11.127Z,1,LOCAL,VISITANTE,6,7,AWAY,AWAY,0,1,-1,MID,SIDEOUT_AWAY
2026-05-01T15:41:34.786Z,1,LOCAL,VISITANTE,7,7,HOME,HOME,1,0,0,MID,SIDEOUT_HOME
2026-05-01T15:42:04.832Z,1,LOCAL,VISITANTE,8,7,HOME,HOME,2,0,1,MID,SIDEOUT_HOME
2026-05-01T15:42:34.848Z,1,LOCAL,VISITANTE,8,8,AWAY,AWAY,0,1,0,MID,SIDEOUT_AWAY
2026-05-01T15:42:58.903Z,1,LOCAL,VISITANTE,9,8,HOME,HOME,1,0,1,MID,SIDEOUT_HOME
2026-05-01T15:43:49.961Z,1,LOCAL,VISITANTE,10,8,HOME,HOME,2,0,2,MID,SIDEOUT_HOME
