timestamp,set,home_team,away_team,home_score,away_score,scorer,serving,home_run,away_run,lead,phase,event
2026-07-21T20:49:16.879Z,1,LOCAL,VISITANTE,0,0,,AWAY,0,0,0,EARLY,POINT
2026-07-21T20:54:24.101Z,1,LOCAL,VISITANTE,1,0,HOME,HOME,1,0,1,EARLY,SIDEOUT_HOME
2026-07-21T20:55:15.300Z,1,LOCAL,VISITANTE,1,1,AWAY,AWAY,0,1,0,EARLY,SIDEOUT_AWAY
2026-07-21T20:55:42.413Z,1,LOCAL,VISITANTE,2,1,HOME,HOME,1,0,1,EARLY,SIDEOUT_HOME
2026-07-21T20:56:03.465Z,1,LOCAL,VISITANTE,2,2,AWAY,AWAY,0,1,0,EARLY,SIDEOUT_AWAY
2026-07-21T20:56:30.662Z,1,LOCAL,VISITANTE,3,2,HOME,HOME,1,0,1,EARLY,SIDEOUT_HOME
2026-07-21T20:56:51.728Z,1,LOCAL,VISITANTE,4,2,HOME,HOME,2,0,2,EARLY,SIDEOUT_HOME
2026-07-21T20:57:24.910Z,1,LOCAL,VISITANTE,5,2,HOME,HOME,3,0,3,EARLY,SIDEOUT_HOME
2026-07-21T20:57:48.963Z,1,LOCAL,VISITANTE,5,3,AWAY,AWAY,0,1,2,EARLY,SIDEOUT_AWAY
2026-07-21T20:58:07.009Z,1,LOCAL,VISITANTE,6,3,HOME,HOME,1,0,3,EARLY,SIDEOUT_HOME
2026-07-21T20:58:31.074Z,1,LOCAL,VISITANTE,7,3,HOME,HOME,2,0,4,MID,SIDEOUT_HOME
2026-07-21T20:58:58.159Z,1,LOCAL,VISITANTE,7,4,AWAY,AWAY,0,1,3,MID,SIDEOUT_AWAY
2026-07-21T20:59:28.256Z,1,LOCAL,VISITANTE,8,4,HOME,HOME,1,0,4,MID,SIDEOUT_HOME
2026-07-21T20:59:49.337Z,1,LOCAL,VISITANTE,8,5,AWAY,AWAY,0,1,3,MID,SIDEOUT_AWAY
2026-07-21T21:00:13.416Z,1,LOCAL,VISITANTE,9,5,HOME,HOME,1,0,4,MID,SIDEOUT_HOME
2026-07-21T21:00:49.500Z,1,LOCAL,VISITANTE,10,5,HOME,HOME,2,0,5,MID,SIDEOUT_HOME
2026-07-21T21:02:22.763Z,1,LOCAL,VISITANTE,11,5,HOME,HOME,3,0,6,MID,SIDEOUT_HOME
2026-07-21T21:02:55.820Z,1,LOCAL,VISITANTE,12,5,HOME,HOME,4,0,7,MID,SIDEOUT_HOME
2026-07-21T21:03:37.960Z,1,LOCAL,VISITANTE,13,5,HOME,HOME,5,0,8,MID,SIDEOUT_HOME
2026-07-21T21:04:02.018Z,1,LOCAL,VISITANTE,14,5,HOME,HOME,6,0,9,MID,SIDEOUT_HOME
2026-07-21T21:04:38.135Z,1,LOCAL,VISITANTE,14,6,AWAY,AWAY,0,1,8,LATE,SIDEOUT_AWAY
